date,trend,keyword
2023-11-12,70,niacinamide serum
2023-11-19,76,niacinamide serum
2023-11-26,75,niacinamide serum
2023-12-03,72,niacinamide serum
2023-12-10,79,niacinamide serum
2023-12-17,62,niacinamide serum
2023-12-24,70,niacinamide serum
2023-12-31,69,niacinamide serum
2024-01-07,70,niacinamide serum
2024-01-14,70,niacinamide serum
2024-01-21,70,niacinamide serum
2024-01-28,61,niacinamide serum
2024-02-04,67,niacinamide serum
2024-02-11,63,niacinamide serum
2024-02-18,67,niacinamide serum
2024-02-25,67,niacinamide serum
2024-03-03,66,niacinamide serum
2024-03-10,69,niacinamide serum
2024-03-17,65,niacinamide serum
2024-03-24,61,niacinamide serum
2024-03-31,66,niacinamide serum
2024-04-07,64,niacinamide serum
2024-04-14,60,niacinamide serum
2024-04-21,59,niacinamide serum
2024-04-28,61,niacinamide serum
2024-05-05,56,niacinamide serum
2024-05-12,57,niacinamide serum
2024-05-19,62,niacinamide serum
2024-05-26,63,niacinamide serum
2024-06-02,60,niacinamide serum
2024-06-09,60,niacinamide serum
2024-06-16,56,niacinamide serum
2024-06-23,58,niacinamide serum
2024-06-30,61,niacinamide serum
2024-07-07,67,niacinamide serum
2024-07-14,64,niacinamide serum
2024-07-21,64,niacinamide serum
2024-07-28,73,niacinamide serum
2024-08-04,73,niacinamide serum
2024-08-11,65,niacinamide serum
2024-08-18,64,niacinamide serum
2024-08-25,71,niacinamide serum
2024-09-01,65,niacinamide serum
2024-09-08,63,niacinamide serum
2024-09-15,64,niacinamide serum
2024-09-22,57,niacinamide serum
2024-09-29,54,niacinamide serum
2024-10-06,59,niacinamide serum
2024-10-13,59,niacinamide serum
2024-10-20,55,niacinamide serum
2024-10-27,62,niacinamide serum
2024-11-03,65,niacinamide serum
2024-11-10,65,niacinamide serum
2024-11-17,69,niacinamide serum
2024-11-24,66,niacinamide serum
2024-12-01,69,niacinamide serum
2024-12-08,68,niacinamide serum
2024-12-15,61,niacinamide serum
2024-12-22,58,niacinamide serum
2024-12-29,63,niacinamide serum
2025-01-05,63,niacinamide serum
2025-01-12,61,niacinamide serum
2025-01-19,63,niacinamide serum
2025-01-26,66,niacinamide serum
2025-02-02,70,niacinamide serum
2025-02-09,69,niacinamide serum
2025-02-16,67,niacinamide serum
2025-02-23,64,niacinamide serum
2025-03-02,72,niacinamide serum
2025-03-09,72,niacinamide serum
2025-03-16,73,niacinamide serum
2025-03-23,66,niacinamide serum
2025-03-30,66,niacinamide serum
2025-04-06,71,niacinamide serum
2025-04-13,68,niacinamide serum
2025-04-20,65,niacinamide serum
2025-04-27,66,niacinamide serum
2025-05-04,75,niacinamide serum
2025-05-11,69,niacinamide serum
2025-05-18,63,niacinamide serum
2025-05-25,63,niacinamide serum
2025-06-01,64,niacinamide serum
2025-06-08,69,niacinamide serum
2025-06-15,66,niacinamide serum
2025-06-22,64,niacinamide serum
2025-06-29,64,niacinamide serum
2025-07-06,72,niacinamide serum
2025-07-13,74,niacinamide serum
2025-07-20,69,niacinamide serum
2025-07-27,69,niacinamide serum
2025-08-03,65,niacinamide serum
2025-08-10,69,niacinamide serum
2025-08-17,71,niacinamide serum
2025-08-24,73,niacinamide serum
2025-08-31,68,niacinamide serum
2025-09-07,66,niacinamide serum
2025-09-14,61,niacinamide serum
2025-09-21,59,niacinamide serum
2025-09-28,65,niacinamide serum
2025-10-05,73,niacinamide serum
2025-10-12,70,niacinamide serum
2025-10-19,70,niacinamide serum
2025-10-26,84,niacinamide serum
2025-11-02,100,niacinamide serum
2025-11-09,94,niacinamide serum
2025-11-16,100,niacinamide serum
2025-11-23,100,niacinamide serum
2025-11-30,78,niacinamide serum
2025-12-07,84,niacinamide serum
2025-12-14,87,niacinamide serum
2023-11-12,71,salicylic acid face wash
2023-11-19,70,salicylic acid face wash
2023-11-26,74,salicylic acid face wash
2023-12-03,69,salicylic acid face wash
2023-12-10,72,salicylic acid face wash
2023-12-17,68,salicylic acid face wash
2023-12-24,69,salicylic acid face wash
2023-12-31,62,salicylic acid face wash
2024-01-07,65,salicylic acid face wash
2024-01-14,65,salicylic acid face wash
2024-01-21,61,salicylic acid face wash
2024-01-28,56,salicylic acid face wash
2024-02-04,59,salicylic acid face wash
2024-02-11,58,salicylic acid face wash
2024-02-18,64,salicylic acid face wash
2024-02-25,62,salicylic acid face wash
2024-03-03,64,salicylic acid face wash
2024-03-10,64,salicylic acid face wash
2024-03-17,59,salicylic acid face wash
2024-03-24,60,salicylic acid face wash
2024-03-31,67,salicylic acid face wash
2024-04-07,62,salicylic acid face wash
2024-04-14,64,salicylic acid face wash
2024-04-21,59,salicylic acid face wash
2024-04-28,62,salicylic acid face wash
2024-05-05,60,salicylic acid face wash
2024-05-12,63,salicylic acid face wash
2024-05-19,70,salicylic acid face wash
2024-05-26,65,salicylic acid face wash
2024-06-02,64,salicylic acid face wash
2024-06-09,68,salicylic acid face wash
2024-06-16,66,salicylic acid face wash
2024-06-23,70,salicylic acid face wash
2024-06-30,78,salicylic acid face wash
2024-07-07,83,salicylic acid face wash
2024-07-14,80,salicylic acid face wash
2024-07-21,75,salicylic acid face wash
2024-07-28,77,salicylic acid face wash
2024-08-04,73,salicylic acid face wash
2024-08-11,81,salicylic acid face wash
2024-08-18,77,salicylic acid face wash
2024-08-25,77,salicylic acid face wash
2024-09-01,85,salicylic acid face wash
2024-09-08,83,salicylic acid face wash
2024-09-15,74,salicylic acid face wash
2024-09-22,66,salicylic acid face wash
2024-09-29,80,salicylic acid face wash
2024-10-06,64,salicylic acid face wash
2024-10-13,71,salicylic acid face wash
2024-10-20,70,salicylic acid face wash
2024-10-27,70,salicylic acid face wash
2024-11-03,83,salicylic acid face wash
2024-11-10,81,salicylic acid face wash
2024-11-17,75,salicylic acid face wash
2024-11-24,75,salicylic acid face wash
2024-12-01,72,salicylic acid face wash
2024-12-08,64,salicylic acid face wash
2024-12-15,60,salicylic acid face wash
2024-12-22,54,salicylic acid face wash
2024-12-29,60,salicylic acid face wash
2025-01-05,57,salicylic acid face wash
2025-01-12,64,salicylic acid face wash
2025-01-19,63,salicylic acid face wash
2025-01-26,67,salicylic acid face wash
2025-02-02,67,salicylic acid face wash
2025-02-09,68,salicylic acid face wash
2025-02-16,65,salicylic acid face wash
2025-02-23,65,salicylic acid face wash
2025-03-02,69,salicylic acid face wash
2025-03-09,74,salicylic acid face wash
2025-03-16,75,salicylic acid face wash
2025-03-23,66,salicylic acid face wash
2025-03-30,66,salicylic acid face wash
